year,month,day,hour,minute,latitude,longitude,accident_type,fatalities,injuries,road_shape,accident_category,police_station_code,severity_a,severity_b,police_station_name
2023,11,18,13,20,35.78268666666666,139.7446383333333,2,0,1,14,41,668,2,0,西新井
2023,11,6,14,45,35.77812333333333,139.78529388888887,2,0,1,1,21,668,4,2,西新井
2023,11,22,9,55,35.76340833333333,139.7708863888889,2,0,1,1,21,668,2,4,西新井
2023,11,23,15,37,35.77673305555555,139.74479277777777,2,0,1,12,21,668,4,2,西新井
2023,10,24,6,23,35.7557425,139.77040250000002,2,0,1,14,21,668,4,2,西新井
2023,10,27,16,25,35.77880777777778,139.80232444444445,2,0,1,14,21,668,4,2,西新井
2023,11,24,15,27,35.75546083333333,139.77030444444446,2,0,2,1,21,668,4,2,西新井
2023,11,24,21,35,35.76662611111111,139.80370194444447,2,0,1,14,21,668,4,2,西新井
2023,11,9,18,15,35.773964166666666,139.78462166666665,2,0,1,1,21,668,4,2,西新井
2023,11,25,11,15,35.77860222222222,139.80246666666667,2,0,1,14,21,668,4,2,西新井
2023,11,25,19,40,35.786119166666666,139.76156722222223,2,0,1,1,41,668,2,0,西新井
2023,11,16,13,10,35.76300444444445,139.75972055555556,2,0,3,12,21,668,2,4,西新井
2023,11,27,17,30,35.76587361111111,139.7627338888889,2,0,1,14,21,668,2,4,西新井
2023,11,29,8,50,35.7698525,139.74918027777775,2,0,1,14,21,668,4,2,西新井
2023,11,29,11,8,35.76318944444444,139.78735666666665,2,0,1,1,21,668,4,2,西新井
2023,11,29,15,15,35.778573888888886,139.75180166666667,2,0,1,14,21,668,4,2,西新井
2023,11,13,19,10,35.77758055555555,139.79077361111112,2,0,1,14,1,668,4,2,西新井
2023,11,30,14,55,35.7800425,139.77025250000003,2,0,1,14,21,668,4,2,西新井
2023,11,22,10,30,35.77963861111111,139.80298333333334,2,0,1,1,21,668,4,2,西新井
2023,11,12,12,30,35.77829222222222,139.7807752777778,2,0,1,14,21,668,4,2,西新井
2023,11,21,19,0,35.76479666666667,139.76361083333333,2,0,2,1,21,668,4,2,西新井
2023,11,29,16,10,35.7825975,139.7807788888889,2,0,1,14,21,668,2,4,西新井
2023,6,30,4,17,35.77656833333333,139.81744138888888,2,0,1,14,41,669,2,0,綾瀬
2023,11,1,8,20,35.7852325,139.82887055555554,2,0,1,1,21,669,4,2,綾瀬
2023,11,1,11,55,35.779984722222224,139.83951166666668,2,0,1,1,21,669,4,4,綾瀬
2023,11,1,18,45,35.761762777777776,139.82417694444445,2,0,1,14,21,669,4,2,綾瀬
2023,11,1,19,28,35.778661944444444,139.81111305555558,2,0,4,1,21,669,2,2,綾瀬
2023,11,2,7,55,35.78621083333333,139.830865,2,0,1,1,21,669,4,2,綾瀬
2023,11,2,18,55,35.770691388888885,139.85125527777777,2,0,1,14,41,669,2,0,綾瀬
2023,11,3,10,30,35.77988694444444,139.84639,2,0,1,1,21,669,4,2,綾瀬
2023,11,4,10,0,35.76957861111111,139.82845833333332,2,0,1,1,41,669,2,0,綾瀬
2023,11,5,4,15,35.778264166666666,139.81920083333333,2,0,1,14,21,669,4,2,綾瀬
2023,11,6,7,5,35.76482083333333,139.82379472222223,2,0,2,1,21,669,2,2,綾瀬
2023,11,7,16,10,35.76398416666667,139.82233833333333,2,0,1,14,41,669,2,0,綾瀬
2023,11,8,13,5,35.76354027777778,139.8239086111111,2,0,1,1,21,669,4,2,綾瀬
2023,11,9,5,44,35.78366833333333,139.84217083333334,2,0,1,1,1,669,4,2,綾瀬
2023,10,12,13,0,35.778441388888886,139.81674416666667,2,0,1,14,21,669,2,4,綾瀬
2023,11,6,17,53,35.77446833333333,139.82985,2,0,1,14,21,669,4,2,綾瀬
2023,11,11,10,35,35.77590472222222,139.83945972222224,2,0,1,14,21,669,4,2,綾瀬
2023,11,11,15,15,35.773135555555555,139.85236277777778,2,0,1,14,41,669,2,0,綾瀬
2023,11,11,15,15,35.76620777777778,139.80956166666667,2,0,1,14,41,669,2,0,綾瀬
2023,11,12,19,35,35.781659166666664,139.8426213888889,2,0,1,1,41,669,2,0,綾瀬
2023,11,13,10,7,35.77614388888889,139.84429916666667,2,0,1,1,21,669,4,2,綾瀬
2023,11,14,13,25,35.77781611111111,139.8270188888889,2,0,1,14,1,669,4,2,綾瀬
2023,11,9,14,15,35.76441805555555,139.82685027777777,2,0,1,7,21,669,2,4,綾瀬
2023,11,16,8,20,35.77779888888889,139.84946472222222,2,0,1,12,1,669,4,2,綾瀬
2023,11,16,8,50,35.78633444444444,139.8433016666667,2,0,1,1,21,669,4,2,綾瀬
2023,11,16,16,20,35.762212777777776,139.82334416666666,2,0,1,1,1,669,4,2,綾瀬
2023,11,17,12,15,35.77778083333333,139.82756833333332,2,0,1,1,21,669,4,2,綾瀬
